,ID,latitude,longitude,geometry,aoi_area,total_harvest_area,harvest_date,2019-10-31,2019-11-05,2019-11-12,2019-11-17,2019-11-24,2019-11-29,2019-12-06,2019-12-11,2019-12-18,2019-12-23,2019-12-30
1916,ID1916,16.485552392117533,-16.06798074835227,"POLYGON ((-16.07263072942033 16.481032015555073, -16.072680252885863 16.490024979105655, -16.063330555554515 16.490072713203542, -16.063281463546392 16.481079722181555, -16.07263072942033 16.481032015555073))",103.74000000000001,9.26,2019-10-31,0.015905147484094852,0.02689415847310584,0.04241372662425294,0.047329863119336804,0.061885482938114515,0.06265664160401002,0.07750144592249855,0.07759784075573549,0.07981492192018508,0.08174281858492385,0.08926161557740506
1917,ID1917,16.494545365492176,-16.068030071442763,"POLYGON ((-16.072680252885863 16.490024979105655, -16.072729807192804 16.49901793479189, -16.063379678135377 16.49906569636363, -16.063330555554515 16.490072713203542, -16.072680252885863 16.490024979105655))",48.81,6.04,2019-11-12,0.017619340299119032,0.02048760499897562,0.07068223724646588,0.07068223724646588,0.08461380864576931,0.08461380864576931,0.09690637164515468,0.09690637164515468,0.10817455439459128,0.10817455439459128,0.12374513419381275
1918,ID1918,16.503538331001792,-16.068079425243667,"POLYGON ((-16.072729807192804 16.49901793479189, -16.072779392347837 16.508010882609966, -16.063428831295603 16.50805867165801, -16.063379678135377 16.49906569636363, -16.072729807192804 16.49901793479189))",0.11,1.04,2019-10-31,9.454545454545455,9.454545454545455,9.454545454545455,9.454545454545455,9.454545454545455,9.454545454545455,9.454545454545455,9.454545454545455,9.454545454545455,9.454545454545455,9.454545454545455
1919,ID1919,16.170839954535452,-16.05693917650423,"POLYGON ((-16.06158245307126 16.166320113154423, -16.061630479161508 16.175313376930337, -16.052295692861904 16.175359741669904, -16.052248088868403 16.16636645074675, -16.06158245307126 16.166320113154423))",11.73,1.04,2019-10-31,0.0886615515771526,0.0886615515771526,0.0886615515771526,0.0886615515771526,0.0886615515771526,0.0886615515771526,0.0886615515771526,0.0886615515771526,0.0886615515771526,0.0886615515771526,0.0886615515771526
1920,ID1920,16.179833228041574,-16.056987006651738,"POLYGON ((-16.061630479161508 16.175313376930337, -16.06167853559611 16.18430663297854, -16.05234332693309 16.184353024867708, -16.052295692861904 16.175359741669904, -16.061630479161508 16.175313376930337))",96.22,0.060000000000000005,2019-10-31,0.00041571398877572233,0.0005196424859696529,0.0005196424859696529,0.0006235709831635835,0.0006235709831635835,0.0006235709831635835,0.0006235709831635835,0.0006235709831635835,0.0006235709831635835,0.0006235709831635835,0.0006235709831635835
1921,ID1921,16.18882649381924,-16.057034867013474,"POLYGON ((-16.06167853559611 16.18430663297854, -16.061726622381503 16.19329988129516, -16.05239099108835 16.193346300336298, -16.05234332693309 16.184353024867708, -16.06167853559611 16.18430663297854))",104.02000000000001,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1922,ID1922,16.197819751864596,-16.057082757595854,"POLYGON ((-16.061726622381503 16.19329988129516, -16.06177473952414 16.202293121876362, -16.05243868533407 16.20233956807185, -16.05239099108835 16.193346300336298, -16.061726622381503 16.19329988129516))",104.09,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1923,ID1923,16.206813002173803,-16.057130678405308,"POLYGON ((-16.06177473952414 16.202293121876362, -16.06182288703048 16.21128635471831, -16.052486409676657 16.211332828070503, -16.05243868533407 16.20233956807185, -16.06177473952414 16.202293121876362))",104.23,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1924,ID1924,16.21580624474301,-16.05717862944825,"POLYGON ((-16.06182288703048 16.21128635471831, -16.061871064906974 16.22027957981715, -16.052534164122502 16.220326080328437, -16.052486409676657 16.211332828070503, -16.06182288703048 16.21128635471831))",104.10000000000001,0.09000000000000001,2019-11-24,9.606147934678194e-05,9.606147934678194e-05,0.00019212295869356388,0.00019212295869356388,0.0008645533141210375,0.0008645533141210375,0.0008645533141210375,0.0008645533141210375,0.0008645533141210375,0.0008645533141210375,0.0008645533141210375
1925,ID1925,16.22479947956838,-16.057226610731124,"POLYGON ((-16.061871064906974 16.22027957981715, -16.06191927316009 16.229272797169045, -16.052581948678018 16.229319324841786, -16.052534164122502 16.220326080328437, -16.061871064906974 16.22027957981715))",104.18,0.25,2019-12-06,0.0005759262814359762,0.000671913995008639,0.0008638894221539644,0.001343827990017278,0.001631791130735266,0.001631791130735266,0.0023996928393165678,0.0023996928393165678,0.0023996928393165678,0.0023996928393165678,0.0023996928393165678
1926,ID1926,16.23379270664607,-16.057274622260355,"POLYGON ((-16.06191927316009 16.229272797169045, -16.061967511796297 16.238266006770143, -16.052629763349614 16.23831256160673, -16.052581948678018 16.229319324841786, -16.06191927316009 16.229272797169045))",104.06,0.030000000000000002,2019-11-12,0.0,0.0,0.00028829521429944266,0.00028829521429944266,0.00028829521429944266,0.00028829521429944266,0.00028829521429944266,0.00028829521429944266,0.00028829521429944266,0.00028829521429944266,0.00028829521429944266
1927,ID1927,16.242785925972246,-16.057322664042406,"POLYGON ((-16.061967511796297 16.238266006770143, -16.062015780822062 16.24725920861661, -16.052677608143707 16.247305790619418, -16.052629763349614 16.23831256160673, -16.061967511796297 16.238266006770143))",103.91000000000001,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1928,ID1928,16.251779137543057,-16.057370736083698,"POLYGON ((-16.062015780822062 16.24725920861661, -16.062064080243864 16.25625240270461, -16.052725483066716 16.256299011876006, -16.052677608143707 16.247305790619418, -16.062015780822062 16.24725920861661))",104.0,1.04,2019-10-31,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
1929,ID1929,16.260772341354663,-16.057418838390703,"POLYGON ((-16.062064080243864 16.25625240270461, -16.06211241006819 16.265245589030297, -16.05277338812507 16.265292225372665, -16.052725483066716 16.256299011876006, -16.062064080243864 16.25625240270461))",103.93,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1930,ID1930,16.26976553740323,-16.05746697096986,"POLYGON ((-16.06211241006819 16.265245589030297, -16.06216077030152 16.27423876758983, -16.052821323325194 16.27428543110556, -16.05277338812507 16.265292225372665, -16.06211241006819 16.265245589030297))",104.04,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1931,ID1931,16.27875872568492,-16.057515133827646,"POLYGON ((-16.06216077030152 16.27423876758983, -16.062209160950353 16.28323193837937, -16.052869288673524 16.283278629070843, -16.052821323325194 16.27428543110556, -16.06216077030152 16.27423876758983))",104.16000000000001,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
