,Unnamed: 0,ID,year,date,planted_area,latitude,longitude,aoi_area,total_flooding_area,flooding_date,geometry
170282,4,ID1504,2020,2020-02-22,14.68,16.377192787172767,-16.151488894154582,104.03,43.27,2020-02-27,"POLYGON ((-16.15613441005177 16.37267079144004, -16.15618741777388 16.38166359127965, -16.146843168486757 16.381714728975254, -16.146790588940643 16.372721899532515, -16.15613441005177 16.37267079144004))"
170283,5,ID1504,2020,2020-02-27,30.03,16.377192787172767,-16.151488894154582,104.03,43.27,2020-02-27,"POLYGON ((-16.15613441005177 16.37267079144004, -16.15618741777388 16.38166359127965, -16.146843168486757 16.381714728975254, -16.146790588940643 16.372721899532515, -16.15613441005177 16.37267079144004))"
170284,6,ID1504,2020,2020-03-03,35.4,16.377192787172767,-16.151488894154582,104.03,43.27,2020-02-27,"POLYGON ((-16.15613441005177 16.37267079144004, -16.15618741777388 16.38166359127965, -16.146843168486757 16.381714728975254, -16.146790588940643 16.372721899532515, -16.15613441005177 16.37267079144004))"
170285,7,ID1504,2020,2020-03-08,35.64,16.377192787172767,-16.151488894154582,104.03,43.27,2020-02-27,"POLYGON ((-16.15613441005177 16.37267079144004, -16.15618741777388 16.38166359127965, -16.146843168486757 16.381714728975254, -16.146790588940643 16.372721899532515, -16.15613441005177 16.37267079144004))"
170286,8,ID1504,2020,2020-03-13,36.15,16.377192787172767,-16.151488894154582,104.03,43.27,2020-02-27,"POLYGON ((-16.15613441005177 16.37267079144004, -16.15618741777388 16.38166359127965, -16.146843168486757 16.381714728975254, -16.146790588940643 16.372721899532515, -16.15613441005177 16.37267079144004))"
170287,9,ID1504,2020,2020-03-18,36.83,16.377192787172767,-16.151488894154582,104.03,43.27,2020-02-27,"POLYGON ((-16.15613441005177 16.37267079144004, -16.15618741777388 16.38166359127965, -16.146843168486757 16.381714728975254, -16.146790588940643 16.372721899532515, -16.15613441005177 16.37267079144004))"
170288,10,ID1504,2020,2020-03-23,37.22,16.377192787172767,-16.151488894154582,104.03,43.27,2020-02-27,"POLYGON ((-16.15613441005177 16.37267079144004, -16.15618741777388 16.38166359127965, -16.146843168486757 16.381714728975254, -16.146790588940643 16.372721899532515, -16.15613441005177 16.37267079144004))"
170289,11,ID1504,2020,2020-03-28,37.22,16.377192787172767,-16.151488894154582,104.03,43.27,2020-02-27,"POLYGON ((-16.15613441005177 16.37267079144004, -16.15618741777388 16.38166359127965, -16.146843168486757 16.381714728975254, -16.146790588940643 16.372721899532515, -16.15613441005177 16.37267079144004))"
170290,12,ID1504,2020,2020-04-02,43.06,16.377192787172767,-16.151488894154582,104.03,43.27,2020-02-27,"POLYGON ((-16.15613441005177 16.37267079144004, -16.15618741777388 16.38166359127965, -16.146843168486757 16.381714728975254, -16.146790588940643 16.372721899532515, -16.15613441005177 16.37267079144004))"
170291,13,ID1504,2020,2020-04-07,43.06,16.377192787172767,-16.151488894154582,104.03,43.27,2020-02-27,"POLYGON ((-16.15613441005177 16.37267079144004, -16.15618741777388 16.38166359127965, -16.146843168486757 16.381714728975254, -16.146790588940643 16.372721899532515, -16.15613441005177 16.37267079144004))"
